architecture_subject,evidence_subject,subject_variant,runtime_unit,owner,review_cadence,reviewer_group,approval_group,escalation_group,review_lifecycle_state,review_status,last_reviewed,reviewed_by,review_notes,next_review_due,review_due_status,approval_required,approval_presence_state,approval_validity_days,awaiting_approval,approval_state,dual_review_required,secondary_approval_group,dual_review_satisfied,secondary_signoff_present,escalation_required,escalation_status,escalation_owner,handoff_to,review_blocking,waiver_state,waiver_active,waiver_expiry_state,waiver_owner,waiver_expiry,waiver_effect,artifact_type,evidence_kind,source_type,source_reference,adapter,input_state,provenance_attestation_type,provenance_assurance_level,policy_status,binding_state,evidence_support_state,derived_maturity_state,governed_maturity_state,freshness_state,precedence_outcome,collection_method,maturity,confidence,last_verified,limitations
Event Bus,event-bus-runtime,managed_runtime,cloud-event-bus,data-platform-team,quarterly,platform-release-governance,platform-release-governance,architecture-governance,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,data-platform-governance,none,false,none,false,not_applicable,unassigned,none,none,provenance,deployment_manifest,deployment-manifest,placeholder://event-bus/deployment-release-metadata,none,placeholder,not-applicable,not-applicable,n/a,planned,none,scaffolded,scaffolded,unknown,supporting,manually_curated,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,platform-engineering,platform-security-review-board,architecture-governance,in_review,approval-refresh-required,2025-06-10,Platform Security Architecture,"Imported teaching CycloneDX artifact remains usable for normalization, but approval must be refreshed on the monthly cadence.",2025-07-10,overdue,true,present,14,true,expired,false,none,true,false,true,overdue-review-required,platform-security-review-board,architecture-governance,true,none,false,not_applicable,unassigned,none,none,sbom,scanner_output,container-image-sbom,placeholder://gateway-runtime/image-sbom.cdx.json,none,placeholder,not-applicable,not-applicable,scaffolded,verified,verified,evidence_backed,partially_evidenced,fresh,supporting,scanner_derived,planned,low,not-verified,Placeholder binding only; no scanner output committed.
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,platform-engineering,platform-security-review-board,architecture-governance,in_review,approval-refresh-required,2025-06-10,Platform Security Architecture,"Imported teaching CycloneDX artifact remains usable for normalization, but approval must be refreshed on the monthly cadence.",2025-07-10,overdue,true,present,14,true,expired,false,none,true,false,true,overdue-review-required,platform-security-review-board,architecture-governance,true,none,false,not_applicable,unassigned,none,none,sbom,imported_artifact,teaching-imported-cyclonedx,evidence/imports/gateway-runtime-imported-sbom.cdx.json,cyclonedx_json,local-file,not-applicable,not-applicable,scaffolded,verified,verified,evidence_backed,partially_evidenced,fresh,selected,imported,reviewed,medium,2025-08-18,"Imported teaching artifact only. It demonstrates a real CycloneDX input shape, not a discovered dependency inventory."
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,platform-engineering,platform-security-review-board,architecture-governance,in_review,approval-refresh-required,2025-06-10,Platform Security Architecture,"Imported teaching CycloneDX artifact remains usable for normalization, but approval must be refreshed on the monthly cadence.",2025-07-10,overdue,true,present,14,true,expired,false,none,true,false,true,overdue-review-required,platform-security-review-board,architecture-governance,true,none,false,not_applicable,unassigned,none,none,sbom,package_manifest,python-package-manifest,placeholder://gateway-runtime/requirements-lock,none,placeholder,not-applicable,not-applicable,scaffolded,verified,verified,evidence_backed,partially_evidenced,fresh,supporting,scanner_derived,planned,low,not-verified,Package manifest evidence is not yet wired into the repository.
Gateway Service,gateway-control-profile,control_profile,edge-gateway-service,platform-team,monthly,platform-engineering,platform-security-review-board,architecture-governance,approved,reviewed,2025-08-08,Platform Security Architecture,No artifact-specific review recorded.,2025-07-10,overdue,true,present,14,true,expired,false,none,true,false,true,overdue-review-required,platform-security-review-board,architecture-governance,true,none,false,not_applicable,unassigned,none,none,sbom,none,none,none,none,none,not-applicable,not-applicable,scaffolded,planned,verified,evidence_backed,partially_evidenced,fresh,none,none,planned,low,not-verified,none-documented
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,edge-security-and-crypto-governance,edge-security-and-crypto-governance,platform-security-review-board,approved,approved-for-teaching-use,2025-08-18,Platform Security Architecture,No artifact-specific review recorded.,2025-09-07,current,false,present,21,false,expiring_soon,true,platform-security-review-board,true,true,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,cbom,none,none,none,none,none,not-applicable,not-applicable,scaffolded,planned,verified,partially_evidenced,partially_evidenced,fresh,none,none,planned,low,not-verified,none-documented
Gateway Service,gateway-control-profile,control_profile,edge-gateway-service,platform-team,monthly,edge-security-and-crypto-governance,edge-security-and-crypto-governance,platform-security-review-board,approved,reviewed,2025-08-08,Platform Security Architecture,Control evidence reviewed; still not a discovered crypto inventory.,2025-09-07,current,false,present,21,false,expiring_soon,true,platform-security-review-board,true,true,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,cbom,repo_control_document,gateway-security-baseline,code/configs/gateway-security-baseline.yaml,none,local-file,not-applicable,not-applicable,scaffolded,linked,verified,partially_evidenced,partially_evidenced,fresh,supporting,manually_curated,reviewed,medium,2025-08-08,Local design baseline only; not a discovered crypto inventory.
Gateway Service,gateway-control-profile,control_profile,edge-gateway-service,platform-team,monthly,edge-security-and-crypto-governance,edge-security-and-crypto-governance,platform-security-review-board,approved,reviewed,2025-08-08,Platform Security Architecture,Control evidence reviewed; still not a discovered crypto inventory.,2025-09-07,current,false,present,21,false,expiring_soon,true,platform-security-review-board,true,true,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,cbom,crypto_policy,edge-access-policy,code/policy/edge-access-policy.rego,none,local-file,not-applicable,not-applicable,scaffolded,linked,verified,partially_evidenced,partially_evidenced,fresh,selected,manually_curated,reviewed,medium,2025-08-08,Policy evidence supports boundary controls but does not enumerate certificates or algorithms.
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,product-security-and-incident-response,product-security-and-incident-response,platform-security-review-board,pending,planned,not-reviewed,unassigned,No gateway advisory review has been attached yet.,unscheduled,unscheduled,false,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,vex,advisory_record,product-advisory-triage,placeholder://gateway-runtime/vex-review,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,advisory_reviewed,planned,low,not-verified,No advisory review output is committed yet.
Gateway Service,gateway-control-profile,control_profile,edge-gateway-service,platform-team,monthly,product-security-and-incident-response,product-security-and-incident-response,platform-security-review-board,approved,reviewed,2025-08-08,Platform Security Architecture,No artifact-specific review recorded.,unscheduled,unscheduled,false,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,vex,none,none,none,none,none,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,none,none,planned,low,not-verified,none-documented
Gateway Service,gateway-runtime,runtime_service,edge-gateway-service,platform-team,monthly,platform-release-governance,platform-release-governance,architecture-governance,pending,planned,not-reviewed,unassigned,Awaiting signed build provenance.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,provenance,attestation,build-attestation,placeholder://gateway-runtime/provenance.intoto.jsonl,none,placeholder,unsigned-or-unspecified,unknown,n/a,planned,none,scaffolded,scaffolded,unknown,supporting,imported,planned,low,not-verified,No signed build provenance is committed.
Gateway Service,gateway-control-profile,control_profile,edge-gateway-service,platform-team,monthly,platform-release-governance,platform-release-governance,architecture-governance,approved,reviewed,2025-08-08,Platform Security Architecture,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,platform-security-review-board,none,false,none,false,not_applicable,unassigned,none,none,provenance,none,none,none,none,none,not-applicable,not-applicable,n/a,planned,none,scaffolded,scaffolded,unknown,none,none,planned,low,not-verified,none-documented
Identity Provider,identity-provider-runtime,managed_runtime,cloud-identity-provider,identity-team,monthly,platform-engineering,architecture-governance,architecture-governance,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,identity-security-board,none,false,none,false,not_applicable,unassigned,none,none,sbom,imported_artifact,supplier-sbom,placeholder://identity-provider/vendor-sbom.cdx.json,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,imported,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Identity Provider,identity-provider-runtime,managed_runtime,cloud-identity-provider,identity-team,monthly,identity-crypto-governance,identity-security-board,identity-security-board,waived,waived,2025-04-01,Identity Security Board,Temporary exception while the managed identity platform does not expose local crypto inventory artifacts for this teaching repository.,2025-05-01,overdue,false,not_applicable,21,false,not_applicable,true,security-architecture-and-crypto-governance,false,false,false,waiver-active,identity-security-board,none,true,active,true,expiring_soon,identity-security-board,2025-09-05,suppress_escalation,cbom,crypto_policy,identity-crypto-review,placeholder://identity-provider/crypto-review.md,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,manually_curated,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Identity Provider,identity-provider-runtime,managed_runtime,cloud-identity-provider,identity-team,monthly,identity-product-security,identity-product-security,identity-security-board,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,false,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,identity-security-board,none,false,none,false,not_applicable,unassigned,none,none,vex,advisory_record,identity-advisory-review,placeholder://identity-provider/vendor-vex,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,advisory_reviewed,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Identity Provider,identity-provider-runtime,managed_runtime,cloud-identity-provider,identity-team,monthly,platform-release-governance,platform-release-governance,architecture-governance,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,identity-security-board,none,false,none,false,not_applicable,unassigned,none,none,provenance,deployment_manifest,deployment-manifest,placeholder://identity-provider/deployment-release-metadata,none,placeholder,not-applicable,not-applicable,n/a,planned,none,scaffolded,scaffolded,unknown,supporting,manually_curated,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Secrets Manager,secrets-manager-runtime,managed_runtime,cloud-secrets-manager,trust-team,monthly,platform-engineering,architecture-governance,architecture-governance,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,trust-governance-board,none,false,none,false,not_applicable,unassigned,none,none,sbom,imported_artifact,supplier-sbom,placeholder://secrets-manager/vendor-sbom.cdx.json,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,imported,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Secrets Manager,secrets-manager-runtime,managed_runtime,cloud-secrets-manager,trust-team,monthly,secrets-and-trust-governance,trust-governance-board,trust-governance-board,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,false,not_applicable,21,false,not_applicable,true,security-architecture-and-crypto-governance,false,false,true,dual-review-pending,trust-governance-board,trust-governance-board,true,none,false,not_applicable,unassigned,none,none,cbom,crypto_policy,key-management-review,placeholder://secrets-manager/crypto-review.md,none,placeholder,not-applicable,not-applicable,scaffolded,planned,none,scaffolded,scaffolded,unknown,supporting,manually_curated,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
Secrets Manager,secrets-manager-runtime,managed_runtime,cloud-secrets-manager,trust-team,monthly,secrets-vendor-assurance,secrets-vendor-assurance,trust-governance-board,in_review,reviewed-with-open-followup,2025-05-18,Trust Governance Board,"Local secrets-platform advisory review is present, but it is stale and still requires supplier or operator follow-up.",2025-06-17,overdue,false,not_applicable,14,false,not_applicable,false,none,true,false,true,expired-review-required,trust-governance-board,trust-governance-board,false,none,false,not_applicable,unassigned,none,none,vex,advisory_record,vault-advisory-review,evidence/reviews/secrets-manager-vault-advisory-review.json,advisory_record,local-file,not-applicable,not-applicable,scaffolded,linked,verified,partially_evidenced,partially_evidenced,expired,selected,advisory_reviewed,reviewed,medium,2025-05-18,Local secrets-platform review record only. It is not a supplier-issued VEX document.
Secrets Manager,secrets-manager-runtime,managed_runtime,cloud-secrets-manager,trust-team,monthly,platform-release-governance,platform-release-governance,architecture-governance,pending,planned,not-reviewed,unassigned,No artifact-specific review recorded.,unscheduled,unscheduled,true,not_applicable,14,false,not_applicable,false,none,true,false,false,not-required,trust-governance-board,none,false,none,false,not_applicable,unassigned,none,none,provenance,deployment_manifest,deployment-manifest,placeholder://secrets-manager/deployment-release-metadata,none,placeholder,not-applicable,not-applicable,n/a,planned,none,scaffolded,scaffolded,unknown,supporting,manually_curated,planned,low,not-verified,Evidence binding placeholder only; no evidence artifact is committed in this repository.
